,Forces,avgCentralDistance,Coordination,numberDensity,initialAnisotropy,li-ion fittability,maxForce,oxidation flexibility,ShannonRadii,positiveoxidationpop,avgIonicRadVol,SpaceGroup,strainvolumeflexibility,Xcm,Ycm,Zcm,volume flexibility of cell,deltaShannon,volumeshannonflex,detLatticeVec,angle anisotropy,ShannonRatio,avgCentralDistance Std,initialAnisotropy Std,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens,positiveoxpopdens,oxstateflexmin,oxstateflexmax,anisotropynormcubevolmean,anisotropynormcubevolstd,deltacrystal1,deltacrystal2,deltacrystal3,deltacrystal4,coordination std,solid electronegativity,charge moment of inertia,mass moment of inertia,negativeoxdensity
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",0.0,0.0,8.0,0.03548401195598606,-0.08655967195326737,1.1483145371614059,0.0,8.0,0.9150123925355664,1.0,0.9150123925355664,139.0,0.03030099999999999,0.0,0.0,0.0,0.06136402697387632,0.5796975369587855,0.0,29.03564008708974,12.157711170842955,2.0080321285140563,0.0,0.06120693062492215,0.0,0.0,0.5796975369587855,0.5796975369587855,1.7564620530847674,0.03548401195598606,8.0,8.0,-0.10280627250664331,0.07269501197414645,0.4034005805430708,0.0,0.4034005805430708,0.4034005805430708,0.0,2.05,3.75,91.32000000000001,0.0
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",0.0007372057505911244,66.7934651274952,5.0,0.08614101436148017,-0.6000193746971133,0.5980857938749027,0.1550131639521199,0.03826123923902647,0.4664120984331043,0.38144329896907214,0.4664120984331043,1.0,0.030301000000000182,34.270101170362544,34.27093481593689,47.13520183256933,0.0011755338161121207,0.18283986022226745,17.380359425868747,1160.181334533832,0.03866043771919903,0.4717602404256738,0.30758506221715814,0.4241753089421777,0.01941196736202508,0.07349419887603796,0.1297933303872185,0.31970822650877534,1.1644731386260756,0.03285791269458522,0.061855670103092786,0.0,-3.230706485898805,2.283902786388167,0.1708393824108254,0.02679303095433427,0.15245835980294442,0.22854343163958993,0.0,1.012818278049914,1662958.3832685472,20599952.577230822,0.05328310166689495
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",0.00013949983544295867,69.42405086046574,5.0,0.08858997552245117,0.22448326236583668,1.0980296479651983,0.030753254681995853,0.04090392627193536,0.4565570025390636,0.39325842696629215,0.4565570025390636,1.0,0.030301000000000102,42.90468941674022,44.616576442860534,33.25066688162991,0.0013176238721468406,0.19264398293335896,0.0,1035.0695827516224,10.21736965073578,0.4823674239952673,0.2794145237730727,0.2951993834054466,0.021717365767198262,0.0780751164096182,0.13482522450576412,0.3321028383106356,1.1796308386863237,0.03483875441894147,0.06741573033707865,0.0,0.4589112592308761,0.6034762651569003,0.17860751413747844,0.028759853164342035,0.15836894335702123,0.23740372011565125,0.0,1.013978500139214,1314308.4888715777,16223150.48070845,0.053751221103509696
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.00748268758775994,4.341982117943633,7.0,0.07361685668259631,-0.47568388685598967,0.7684378119292672,0.04489612552655964,0.7777777777777778,0.5299954710811147,0.3333333333333333,0.5320943099266652,164.0,0.03030099999999997,2.9999957553547416,2.999889274107034,2.9999924081366087,0.028235090876503964,0.38810912678061044,0.0,83.9726969959237,14.141948069938625,1.3572578791322751,0.1539219288388884,0.3363594865151738,0.15713484026367722,0.10841917341471531,0.311445194048425,0.5414369922449813,1.3575841205330579,0.024538952227532104,1.0,0.6666666666666666,-1.1483773091918232,0.8120258279052843,0.37888221221051654,0.009228602812806031,0.36583099695089183,0.385407819840329,0.0,1.081483747120199,339.7345218885966,4714.344518127456,0.04907790445506421
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",0.004371237227419085,11.335096404591983,6.0,0.08499198694751026,-0.500204445807487,0.602608886034961,0.09421869148784491,0.2857142857142857,0.49127609204363654,0.42857142857142855,0.4998904006039188,6.0,0.030300999999999828,7.09405119068904,7.040656608049614,7.054900089873455,0.008036127640828184,0.34979816069571745,132.41459126938827,169.71263430878685,12.12195628323594,0.5621195845714286,0.28409334492715815,0.235809503158423,0.13226001425322162,0.13156290444559574,0.2463331966309563,0.6067703878941064,1.378801295219095,0.03642513726321868,0.42857142857142855,0.0,-1.086472266158628,0.5121915397306874,0.3188255957179439,0.047401799081990624,0.2893488826531421,0.4337498230212036,0.0,1.092258927424332,4849.449318536268,65573.4133897374,0.04856684968429158
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",0.001563064800381452,36.16337059384618,6.0,0.08816289097561088,-0.12720175833925915,0.7265122636122816,0.11293741739245147,0.09085992428339643,0.4816195641266235,0.4418604651162791,0.48703569147660636,2.0,0.030301000000000262,21.41957300017434,21.162525898160677,21.4999517682584,0.0027140275183681023,0.24775950784342568,404.7371152764499,502.51236670829934,8.825080633007698,1.0093737882790699,0.33998133276146975,0.36042125416232434,0.044807604493689514,0.09447967883205918,0.17154527068336267,0.4225520224538945,1.40295054750213,0.03895569601247923,0.13953488372093023,0.0,-0.1782424206991252,0.5050429935250337,0.2238898591277432,0.034782738590858175,0.20150119056435808,0.30206132107523803,0.0,1.0291486372627427,152766.8788063464,2055807.0842887505,0.049207194963131654
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",0.01689590362996868,1.7276005143216586,6.0,0.052287364298676246,-0.2991413203592059,0.9555447048659919,0.05068771088990604,2.6666666666666665,0.23455859051343625,0.3333333333333333,0.8398572479717691,164.0,0.030300999999999908,2.171545722994546,0.8283667495937606,0.8283667495937606,0.34688881466776256,3.7841014595485905,0.0,59.11376565749464,14.152078390508711,0.1886043276666666,0.15348400433842047,0.2117226891878212,0.0,2.0928954350498317,0.8243003506723784,5.264002013986696,0.9473258787887779,0.017429121432892082,2.6666666666666665,2.6666666666666665,-0.46688701653707115,0.3304477447963682,4.64166125651761,2.906217297917533,0.5316493385993448,6.696667215476743,0.0,1.3715339700741747,259.8164931537914,1737.3716032192744,0.034858242865784164
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",0.014096839157704655,10.43589643920605,5.0,0.09071523890163004,0.13967944513114514,0.7489616255132104,0.19719064830427507,0.1952662721893491,0.5207084398686215,0.5384615384615384,0.5155936088385101,1.0,0.030300999999999998,5.088960085561364,7.716474499327592,6.4025157955702,0.009237060239434606,0.41298193602251443,0.0,147.64788322416396,3.268385588434373,0.31933878089499407,0.19800557290526102,0.4018988696596433,0.1336282815459907,0.16238556073506033,0.258038945966691,0.6356041064597605,0.9956119707914793,0.04884666710087771,0.3076923076923077,0.0,0.23147829084464203,0.666031164097631,0.3528750253996634,0.0690089552956939,0.2846725347887299,0.4543616072717533,0.0,1.0996987372095925,3082.3683287986037,34553.76228616932,0.041868571800752326
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",0.004092965838080795,10.378015370483014,6.0,0.09242237603886193,0.05039179974068079,0.9962568838197804,0.0886731665357621,0.1683673469387755,0.5264093698530303,0.5714285714285714,0.5215705050450802,1.0,0.030301000000000057,6.927324972799426,6.727472854140626,5.5941257293612185,0.008738682755770916,0.4210271387872863,15.50725951913447,156.0684178248661,13.140557720247287,0.38723181578911575,0.1862962532591564,0.19478217839999046,0.12836475127968494,0.16359882302251413,0.25331213288631577,0.6239609733152699,0.961116938907679,0.0528127863079211,0.2857142857142857,0.0,0.062351484821998975,0.24101060296718094,0.3535272366118059,0.07014188857662998,0.27945784188250233,0.4460385133278272,0.0,1.092258927424332,4306.825173216959,47606.4756635397,0.03960958973094083
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",0.0010666185639777112,6.420474969477048,4.0,0.056504400275890924,-3.469757814400509e-11,1.3799849234116455,0.00853294851182169,0.4375,0.7264100374321122,0.5,0.6980201356478315,139.0,0.030300999999999953,2.4022709084370435,5.5977290915629565,4.0,0.01543663384318868,0.34342110405707904,43.49583863465046,145.87196678055585,24.70013717652254,0.10869565250000002,0.27962327912712887,2.1951888979061376e-10,0.0625,0.08433921516241383,0.2590818888946652,0.42776031921949287,1.0145883631132864,0.028252200137945462,0.5,0.375,-4.309387643011807e-11,2.726394876215726e-10,0.3032161490113559,0.01739302354014533,0.2858231254712106,0.32060917255150123,0.0,1.0835381331286953,5578.492325867115,73654.5273063406,0.028252200137945462
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",0.012770978874333703,7.741597693456851,5.0,0.08030329946015188,-0.2746223329931696,0.8039957963504892,0.14575361010754587,0.23140495867768596,0.6363715571197103,0.6363636363636364,0.6209993413680446,44.0,0.030301000000000092,3.5725871926855866,5.533965130377953,5.4660489994589,0.009663569715278125,0.4285011267886459,12.342558886556947,141.13132431904398,14.018118977949188,0.6566697987359308,0.30179972306039354,0.19418525224925418,0.14691230441843947,0.15134159400969152,0.2619508801258079,0.6452400217144132,1.1124390758573417,0.051102099656460294,0.36363636363636365,0.0,-0.33791362202575126,0.2389384767667882,0.34875822522815303,0.07050034492202056,0.2889882407331581,0.46124984146996256,0.0,1.1188659059314907,13494.044537500491,169487.52501810924,0.029201199803691597
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.0,8.047820840546395,6.0,0.07988563683524816,4.5334898797951456e-10,1.2471800531198958,0.0025618334434736384,0.3611111111111111,0.44220916574293107,0.3333333333333333,0.4848464661288364,227.0,0.030301000000000078,5.100985653433635,5.100985653433635,5.100985653433635,0.02231215394815343,0.3837370851316121,146.16493456779654,154.76639468366562,1.0310737667201302e-08,-0.17718715433333324,0.23522776302288004,6.483802657794391e-10,0.039283710065919304,0.18344694365265685,0.254020507286872,0.6431702408210924,0.9821253529274229,0.026628545611749387,0.4166666666666667,0.3333333333333333,5.088670422902245e-10,7.277821990467557e-10,0.35570979720358636,0.05849752025925293,0.3143458039456712,0.4384377837194168,0.0,1.0366370500542852,212094.04792541964,2117382.506538979,0.053257091223498775
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",0.00023946408971929205,42.914715122707314,6.0,0.0891053611991132,-0.12201482896827816,0.7856092399572197,0.030099115403607796,0.07133058984910837,0.4240224179941478,0.4074074074074074,0.4590044218628718,59.0,0.03030100000000013,25.041060742154524,23.58949276801161,27.0,0.005530496443116408,0.25793896493114193,224.46168213357188,624.3872787370924,13.079096763983362,-0.07274309914050549,0.28963790341359175,0.5393987579532457,0.02652822991195297,0.11868207534930052,0.15956696528342043,0.4040174731740344,1.0025828861634873,0.03630218419223131,0.09259259259259259,0.0,-0.34511034090285136,1.5256513557726308,0.2298363458724663,0.0390777924064647,0.19746124642032034,0.28096961310255,0.0,1.0080280238231167,192393.17396577154,1895161.33180855,0.052803177006881905
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",0.0004575584669872644,44.567102797777736,6.0,0.0907146343708222,0.06751646398362905,1.3608708157473255,0.029648306902231365,0.0687603305785124,0.411956381902698,0.41818181818181815,0.45421126454792277,121.0,0.03030100000000007,25.641146200621083,27.356100182594172,25.623136071237706,0.005528008563559668,0.2603564216545138,78.08170115929147,624.668284153129,10.43531949175477,-0.09403000113939376,0.3020986271425919,0.24181392621654482,0.027451953047308023,0.11895776658941279,0.15954303476547974,0.4039568820148745,1.0069344257692594,0.03793521073688928,0.09090909090909091,0.0,0.12631668402668508,0.4524101457468774,0.23073143328078147,0.03931309267445662,0.1974316328352549,0.28092747563158155,0.0,1.0078814860658876,2376806.860947183,23352174.844261706,0.05277942363393292
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",0.0,9.584035134439757,6.0,0.09230512834809508,1.6991941187427528e-10,1.2471800532731754,0.00014582072040694353,0.2653061224489796,0.4072978254979946,0.42857142857142855,0.4495257793628849,227.0,0.0303009999999999,5.994828784095287,5.994828784095287,5.994828784095287,0.022097942388970174,0.4169610782982624,0.0,156.26665883182935,1.441666741828254e-08,-0.08384749258503385,0.3297748153557535,3.987407717360003e-10,0.11270776548150264,0.1891655694991655,0.25320496969316236,0.6411053307232927,1.0110922008643954,0.03955934072061218,0.35714285714285715,0.0,1.907280901783968e-10,4.4757143257454826e-10,0.3676080747242458,0.06272639121147393,0.31333659085779614,0.4458498176233894,0.0,1.0313221307322997,302238.68209955824,2962761.261131087,0.0527457876274829
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",0.0,0.930448741482866,7.0,0.05194416059840704,-0.340970247340872,0.9180831726143782,0.00198095,2.444444444444444,0.8670604700046338,0.3333333333333333,0.8670604700046338,164.0,0.03030099999999988,0.835958512750768,0.835958512750768,0.835958512750768,0.048084481705871825,3.745935490598199,0.0,59.50434012971206,14.142135644641515,4.0375621163402515,0.3828508659871376,0.24110237454081762,0.31426968052735443,2.1305466021163135,0.7328875906173944,5.252459440588602,0.9243023261850624,0.017314720199469013,2.6666666666666665,2.0,-0.5766825085401704,0.40777611316388834,4.614987378275138,2.923173501397176,0.48099576742960387,6.681983183697904,0.0,1.1768719218995578,16.125093698266614,136.9533291944642,0.034629440398938026
"mp-300007554, MgSnAu, LiMgSnAu, mp-5549, mp-7554",0.0,1.2267381704415188,8.0,0.04323893816496491,-1.0757882732785144e-09,1.2471800522446388,0.0,1.6666666666666667,0.8083071395673043,1.0,0.8531195027481707,216.0,0.030300999999999932,0.9582576129295999,0.9582576129295999,0.9582576129295999,0.1807752841681702,1.4630490331508599,0.0,71.48424848472476,1.3985975228415986e-08,3.3297336445856693,0.3535533905932738,4.043423266353889e-10,0.9813067629253163,1.1702800709336227,0.5337822629036962,3.113718091819893,1.9724625073190756,0.04323893816496491,2.6666666666666665,0.3333333333333333,-1.2075315284672042e-09,4.538589423880543e-10,1.1004695893493608,0.9269994868317654,0.36845960146653556,2.4083414030213413,0.0,1.3644089897625868,2536.1628862537254,77275.51171801971,0.0
"mp-300007936, NbS2, Li9(NbS2)14, mp-10033, mp-767218",0.0,2.8247157629581867,7.0,0.045791690292390407,-0.4993764325605796,0.7352492033842677,0.00023074,1.222222222222222,0.8762985985997688,0.3333333333333333,0.8776041335372828,194.0,0.030300999999999988,1.2251301258982152,1.2251301258982152,2.9999999999999996,0.017562995692262807,2.8189450321591325,0.0,134.99842352461238,14.142135624698703,4.309398331272727,0.2852135701930667,0.3531124618393442,0.15713484026367722,1.6664795859627113,0.4621870002727663,3.997324048102316,1.0814941107322034,0.015263896764130135,1.3333333333333333,1.0,-1.316871099668585,0.9311684845532807,3.494259273709046,2.2499960044615546,0.3122844089142405,5.085246706106449,0.0,1.081483747120199,271.54439784169546,2684.1341965281545,0.03052779352826027
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",0.0009247253311623876,43.2182340402234,7.0,0.05688942063014142,-0.37522094084456553,0.6741377497500309,0.08950871404324105,0.1184159938485198,0.7636956958338696,0.45098039215686275,0.8441187804486929,2.0,0.030300999999999963,25.365477368536478,25.466299017139285,25.50000490783911,0.022201183958528384,1.2837275766708904,0.0,923.6401147696021,11.44683522522665,3.4449534154430586,0.29363677568484936,0.20553783323077587,0.05732564035252843,0.9074379429293246,0.243459296587154,2.105610284165425,1.1357237339801642,0.025656013225357897,0.1568627450980392,0.0,-0.5207499955743656,0.2852554697623601,1.559319382845172,1.2353435221329978,0.16449736250592686,2.678678944475211,0.0,1.0187578650742761,465212.64891019353,4258552.132250536,0.031233407404783527
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",0.0009292947410263856,44.1057257598372,7.0,0.05813468934642105,-0.05918102148613295,0.6745645656080432,0.10356816662025306,0.11390532544378698,0.8390174069090374,0.46153846153846156,0.8403561064872559,15.0,0.030300999999999922,25.988380914308216,25.966025062570683,25.920413026984736,0.02225086060717565,1.2666175508895225,0.0,921.5780216996768,1.5843074676772444,3.694343096626263,0.2756204258589105,0.4234475477881592,0.05791944364039022,0.9085478999319266,0.24364074685867512,2.1071795960098902,1.1415202785107488,0.02683139508296356,0.15384615384615385,0.0,-0.0820991931134382,0.5874299078703441,1.535217943876786,1.2375413625321177,0.164619962429239,2.680675364528199,0.0,1.0183938396652978,481613.21103051445,4404136.247583792,0.03130329426345749
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",0.0,0.9217732792531607,12.0,0.03648427400681984,-0.2548608611405929,0.9927544777685018,0.0,4.0,0.9126166691138948,1.0,0.9126166691138948,194.0,0.030300999999999995,1.0,1.0,1.0,0.03154691156476042,0.4643895665255415,0.0,56.479183321965536,14.142135620448068,2.0080321285140563,0.13560818350177983,0.18021384307960267,0.0,0.0,0.4643895665255415,0.4643895665255415,1.805975122170911,0.03648427400681984,4.0,4.0,-0.3686411279928985,0.26066864129503103,0.32315993909055946,0.0,0.32315993909055946,0.32315993909055946,0.0,1.4317821063276353,8.680555555555557,211.38888888888897,0.0
