,Forces,avgCentralDistance,numberDensity,Coordination,initialAnisotropy,li-ion fittability,maxForce,oxidation flexibility,ShannonRadii,NNDist,positiveoxidationpop,avgIonicRadVol,SpaceGroup,strainvolumeflexibility,Xcm,Ycm,Zcm,volume flexibility of cell,AtomicNum Density,deltaShannon,volumeshannonflex,detLatticeVec,angle anisotropy
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",0.0,0.0,8.0,0.03548401195598606,-0.15642711839126067,13.23468179021515,0.0,8.0,25.786610422478066,3.1450372960270667,1.0,25.786610422478066,139.0,0.8539338797874656,0.0,0.0,0.0,1.7817438015079388,51.0,1.7817438015079388,0.0,29.03564008708974,12.157711170842955
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",0.0007372057505911244,0.5850831523768406,5.010309278350515,0.08614101436148017,-16.80562849518313,88.90201038494698,0.1550131639521199,3.711340206185567,525.2082748661253,4.357956730139074,37.0,525.2082748661253,1.0,34.12076142574824,34.270101170362544,34.27093481593689,47.13520183256933,1.363832391566608,13.927835051546392,1.9212306448775396,8.379155394689782,1160.181334533832,0.03866043771919903
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",0.00013949983544295867,0.4167463261929198,5.0,0.08858997552245117,2.2980908438541143,504.60734239111883,0.030753254681995853,3.640449438202247,458.6701033197485,7.49540428699098,35.0,458.6701033197485,1.0,30.441243313320115,42.90468941674022,44.616576442860534,33.25066688162991,1.363832391566608,13.719101123595506,1.9487014015963104,0.0,1035.0695827516224,10.21736965073578
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.00748268758775994,1.3408532247822216,7.0,0.07361685668259631,-2.4895026936658167,11.062848499058438,0.04489612552655964,4.666666666666667,43.36732106513239,2.3255464947444398,2.0,43.36732106513239,164.0,2.469624596766849,2.9999957553547416,2.999889274107034,2.9999924081366087,2.3709767308250367,19.0,1.6995471713194175,0.0,83.9726969959237,14.141948069938625
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",0.004371237227419085,0.6503737319229467,6.0,0.08499198694751026,-2.9778672505605805,10.70524292660691,0.09421869148784491,4.0,82.34265205232828,2.4952620613737606,6.0,82.34265205232828,6.0,4.991223469831169,7.09405119068904,7.040656608049614,7.054900089873455,1.363832391566608,16.714285714285715,1.9366697976235692,67.03324315751826,169.71263430878685,12.12195628323594
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",0.001563064800381452,0.3103083622318701,6.1395348837209305,0.08816289097561088,-0.7015230634621267,68.33641309229563,0.11293741739245147,3.9069767441860463,237.54364791970755,3.892890006815763,19.0,237.54364791970755,2.0,14.778814369420502,21.41957300017434,21.162525898160677,21.4999517682584,1.363832391566608,16.3953488372093,1.9697566757125207,201.09972947255466,502.51236670829934,8.825080633007698
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",0.01689590362996868,1.676752595736504,6.0,0.052287364298676246,-0.9003747407617771,16.05386389928369,0.05068771088990604,8.0,55.89187903400766,2.7391983319957744,1.0,48.18700995374316,164.0,1.7385271034268044,2.171545722994546,0.8283667495937606,0.8283667495937606,20.505904099476208,18.666666666666668,14.740955916432796,0.0,59.11376565749464,14.152078390508711
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",0.014096839157704655,0.5021999998584606,5.0,0.09071523890163004,0.6056680147732253,19.92732064581822,0.19719064830427507,2.5384615384615383,73.887441581551,2.732960407717898,7.0,73.887441581551,1.0,4.342302404419087,5.088960085561364,7.716474499327592,6.4025157955702,1.363832391566608,11.307692307692308,2.182764076055788,0.0,147.64788322416396,3.268385588434373
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",0.004092965838080795,0.4715004045216226,5.071428571428571,0.09242237603886193,0.16618829792909798,54.11938266108835,0.0886731665357621,2.357142857142857,79.00670144598718,3.7063525343187096,8.0,79.00670144598718,1.0,4.5899490813959005,6.927324972799426,6.727472854140626,5.5941257293612185,1.363832391566608,10.714285714285714,2.2668098960124086,8.379155394689782,156.0684178248661,13.140557720247287
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",0.0010666185639777112,0.4244054803005374,4.0,0.056504400275890924,-1.1230216756530353e-10,138.96878681010907,0.00853294851182169,3.5,98.82701272674652,4.9944101067848825,4.0,98.82701272674652,139.0,4.290072964519709,2.4022709084370435,5.5977290915629565,4.0,2.2517721391772256,18.5,1.8078022653719168,31.945791741642587,145.87196678055585,24.70013717652254
